Amount_Status,Time_Status,Device_Status,Location_Status,IP_Status,Category,Behavioral_Anomaly,New_Beneficiary,Rapid_Transactions,Weekend,New_Account,Failed_Logins,Result
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
High,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Medium,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
Medium,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
High,Odd_Hours,Recognized,Foreign,Clean,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
High,Business,Recognized,Local,Clean,Utilities,Yes,No,No,No,No,No,Fraud
High,Business,Recognized,Foreign,Clean,Retail,Yes,No,No,No,No,Yes,Fraud
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
High,Business,Recognized,Foreign,Clean,Crypto,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Medium,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
High,Business,Recognized,Local,Blacklisted,Groceries,No,No,No,No,No,No,Fraud
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Groceries,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Utilities,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
High,Business,Recognized,Foreign,Clean,Retail,No,Yes,No,No,No,No,Fraud
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Medium,Odd_Hours,Recognized,Local,Blacklisted,Crypto,No,No,No,Yes,No,No,Fraud
Low,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
Low,Odd_Hours,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
High,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,Yes,Fraud
Low,Business,Recognized,Foreign,Clean,Retail,No,No,No,No,No,Yes,Fraud
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Groceries,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,Yes,No,No,Safe
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Travel,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Low,Business,Unrecognized,Local,Blacklisted,Retail,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
Low,Business,Recognized,Local,Clean,Dining,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Local,Blacklisted,Crypto,No,No,No,No,No,No,Fraud
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
Low,Business,Recognized,Local,Clean,Crypto,Yes,No,Yes,No,No,Yes,Fraud
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Medium,Business,Recognized,Local,Clean,Retail,No,No,No,No,No,No,Safe
High,Odd_Hours,Unrecognized,Foreign,Blacklisted,Crypto,Yes,Yes,Yes,No,Yes,Yes,Fraud
High,Business,Recognized,Local,Clean,Retail,Yes,No,No,No,No,No,Fraud
Low,Business,Recognized,Local,Clean,Entertainment,No,No,No,No,No,No,Safe
Medium,Business,Recognized,Foreign,Blacklisted,Retail,No,No,No,No,No,No,Fraud
